Sample name;Match Score;Polymer;Size (pixels);Size (micrometer2);Major dimension (micrometer);Minor dimension (micrometer);Feret dimension (micrometer);Est Volume (micrometer3);Est Mass (ng)
Inlet_water_Choisy 1;0,793;pp;12;7500;271,2;35,2;55,5;105625,469;100,3442
Inlet_water_Choisy 1;0,615;pp;6;3750;150;31,8;25;47746,48;45,35916
Inlet_water_Choisy 1;0,587;pp;7;4375;175;31,8;25;55704,227;52,91902
Inlet_water_Choisy 1;0,794;pp;13;8125;238,6;43,4;83,5;140911,453;133,86588
Inlet_water_Choisy 1;0,829;pp;12;7500;136,8;69,8;92,1;209409,203;198,93873
Inlet_water_Choisy 1;0,707;polyester;15;9375;136,8;87,3;114,4;327201,906;451,53863
Inlet_water_Choisy 1;0,938;pe;19;11875;152,5;99,2;123,1;471017,844;447,46694
Inlet_water_Choisy 1;0,942;pe;86;53750;371,8;184,1;201;3957523;3759,64675
Inlet_water_Choisy 1;0,791;pp;6;3750;80,9;59;69,7;88526,844;84,1005
Inlet_water_Choisy 1;0,784;pp;11;6875;128,1;68,3;85,6;187949,953;178,55245
Inlet_water_Choisy 1;0,748;polyester;41;25625;267,9;121,8;176,8;1248202,375;1722,51925
Inlet_water_Choisy 1;0,705;polyester;25;15625;170,8;116,5;136,5;728096,563;1004,77325
Inlet_water_Choisy 1;0,663;ps;11;6875;104,1;84,1;104,1;231336,656;240,59011
Inlet_water_Choisy 1;0,722;polyester;52;32500;326;126,9;153,7;1649932,5;2276,90675
Inlet_water_Choisy 1;0,721;polyester;92;57500;345,6;211,8;259;4872082,5;6723,474
Inlet_water_Choisy 1;0,712;polyester;74;46250;336,2;175,1;213,8;3239984,5;4471,1785
Inlet_water_Choisy 1;0,786;pe;13;8125;115,1;89,8;115,1;292008,344;277,40794
Inlet_water_Choisy 1;0,707;polyester;42;26250;215,4;155,2;185,9;1629275,25;2248,39975
Inlet_water_Choisy 1;0,845;pe;14;8750;152,5;73,1;108,3;255732,672;242,94603
Inlet_water_Choisy 1;0,667;polyester;196;122500;622,9;250,4;420,1;12269577;16932,016
Inlet_water_Choisy 1;0,557;pp;10;6250;104,1;76,5;88,2;191187,328;181,62795
Inlet_water_Choisy 1;0,703;polyester;58;36250;258,8;178,3;237,5;2585663,75;3568,216
Inlet_water_Choisy 1;0,721;polyester;96;60000;382,9;199,5;223,2;4787915,5;6607,3235
Inlet_water_Choisy 1;0,656;polyester;21;13125;185,1;90,3;114,8;474038,594;654,17325
Inlet_water_Choisy 1;0,726;polyester;30;18750;185,1;129;165,6;967425,75;1335,0475
Inlet_water_Choisy 1;0,677;polyester;40;25000;265,9;119,7;172,8;1197249;1652,20363
Inlet_water_Choisy 1;0,863;pp;71;44375;361,8;156,2;244;2771987,5;2633,388
Inlet_water_Choisy 1;0,959;pe;21;13125;159,6;104,7;145,7;549612,5;522,13188
Inlet_water_Choisy 1;0,864;pp;93;58125;378,1;195,7;216,3;4551086,5;4323,532
Inlet_water_Choisy 1;0,788;pe;8;5000;104,1;61,2;80,3;122359,891;116,2419
Inlet_water_Choisy 1;0,682;polyester;45;28125;238,6;150,1;187,4;1688471,5;2330,09075
Inlet_water_Choisy 1;0,718;polyester;59;36875;380,7;123,3;191,9;1818841,625;2510,0015
Inlet_water_Choisy 1;0,697;polyester;50;31250;302,8;131,4;187;1642418,375;2266,53725
Inlet_water_Choisy 1;0,824;pp;11;6875;115,1;76;94,3;209071,031;198,61748
Inlet_water_Choisy 1;0,701;polyester;8;5000;104,1;61,2;72,4;122359,891;168,85666
Inlet_water_Choisy 1;0,673;polyester;14;8750;150;74,3;110;259953,063;358,73522
Inlet_water_Choisy 1;0,661;polyester;10;6250;131,1;60,7;78;151788,938;209,46873
Inlet_water_Choisy 1;0,745;polyester;257;160625;567,3;360,5;495,4;23163966;31966,272
Inlet_water_Choisy 1;0,756;pe;8;5000;115,1;55,3;73,5;110583,039;105,05388
Inlet_water_Choisy 1;0,775;pp;11;6875;115,1;76;94,3;209071,031;198,61748
Inlet_water_Choisy 1;0,737;polyester;149;93125;518,9;228,5;431,2;8512037;11746,611
Inlet_water_Choisy 1;0,841;pp;14;8750;115,1;96,8;115,1;338660,563;321,72753
Inlet_water_Choisy 1;0,656;polyester;5;3125;115,1;34,6;45,8;43196,496;59,61116
Inlet_water_Choisy 1;0,933;pe;27;16875;185,1;116,1;136,3;783614,875;744,43413
